min_gap,rr_target,fib_lower,fib_upper,session_start_hour_utc,session_end_hour_utc,risk_pct,score,total_return,max_drawdown,trades,win_rate,profit_factor
0.3,2.5,0.5,0.79,8,20,0.005,-0.19495359142411045,-0.0778828259881621,-0.2341415308718967,457,0.30196936542669583,0.9546358478279978
0.1,2.5,0.5,0.79,7,20,0.005,-0.20397031109569752,-0.10267610443824693,-0.20258841331490118,512,0.30078125,0.9447805215431453
0.3,2.5,0.5,0.79,7,20,0.005,-0.20514124129084998,-0.09903980152569081,-0.21220287953031836,484,0.29958677685950413,0.9438196536644577
0.1,2.5,0.5,0.79,8,20,0.005,-0.218258090534662,-0.10006115142571081,-0.23639387821790236,480,0.3,0.9443251170729053
0.3,2.0,0.5,0.79,8,20,0.005,-0.22695469523825768,-0.11213847367568208,-0.2296324431251512,508,0.3484251968503937,0.9335407001211401
0.3,2.0,0.5,0.79,7,20,0.005,-0.2342625834531079,-0.10861858117573386,-0.2512880045547481,546,0.3498168498168498,0.9385197818006131
0.1,2.5,0.5,0.79,7,19,0.005,-0.23539716563356217,-0.1327314578506823,-0.20533141556575973,474,0.29535864978902954,0.9203183579379738
0.1,2.5,0.5,0.79,8,19,0.005,-0.2431858083016485,-0.13021443308814606,-0.22594275042700485,442,0.29411764705882354,0.9186730656127894
0.3,2.5,0.5,0.79,8,19,0.005,-0.24459936353355477,-0.12368285922560085,-0.24183300861590784,422,0.2938388625592417,0.9191187376363
0.2,2.5,0.5,0.79,7,20,0.005,-0.2448432018052235,-0.13850405931321697,-0.2126782849840131,501,0.2954091816367265,0.9225892091380947
0.2,2.5,0.5,0.79,8,20,0.005,-0.24953901740194656,-0.1265088174006771,-0.24606040000253893,470,0.2957446808510638,0.927231883234945
0.3,2.5,0.5,0.79,7,19,0.005,-0.25746305709399536,-0.14379303206312888,-0.22734005006173297,449,0.29175946547884185,0.9089047582018979
0.1,2.0,0.618,0.79,8,20,0.005,-0.25955216457207153,-0.14467325965059297,-0.22975780984295713,339,0.3421828908554572,0.8748511644536731
0.1,2.0,0.618,0.79,7,20,0.005,-0.2728055310925232,-0.15682181220064928,-0.23196743778374784,371,0.3423180592991914,0.8730887306665298
0.1,2.0,0.5,0.79,7,20,0.005,-0.27425050715188937,-0.14105780002578439,-0.26638541425220996,576,0.3472222222222222,0.9231881426759008
0.2,2.5,0.5,0.79,8,19,0.005,-0.277960802123996,-0.1556044195131131,-0.24471276522176577,432,0.28935185185185186,0.8994956752059141
0.2,2.0,0.618,0.79,8,20,0.005,-0.27940450257374416,-0.1583938036005551,-0.24202139794637811,329,0.3373860182370821,0.8583529116299966
0.3,2.0,0.618,0.79,8,20,0.005,-0.2840849600110891,-0.16183158707555922,-0.2445067458710598,319,0.335423197492163,0.8520325629349794
0.1,2.5,0.618,0.79,8,20,0.005,-0.2849004925591013,-0.15273474823806465,-0.26433148864207334,324,0.29012345679012347,0.8742276419707025
0.1,2.0,0.5,0.79,8,20,0.005,-0.2851705698980538,-0.15911824987573409,-0.2521046400446394,536,0.34328358208955223,0.9095517035686461
0.1,2.0,0.618,0.79,8,19,0.005,-0.28557460388385386,-0.16264818892554456,-0.2458528299166186,311,0.33440514469453375,0.8475999473460172
0.2,2.5,0.5,0.79,7,19,0.005,-0.28559801928821593,-0.1671746836006519,-0.23684667137512805,463,0.2894168466522678,0.8957043055359286
0.3,2.5,0.5,0.79,8,20,0.0075,-0.29115920594992084,-0.12510903288848185,-0.332100346122878,457,0.30196936542669583,0.9510301869774236
0.2,2.0,0.618,0.79,7,20,0.005,-0.2924542477032881,-0.17035341560061368,-0.24420166420534883,361,0.3379501385041551,0.8578344419478424
0.1,3.0,0.618,0.79,8,19,0.005,-0.29506138474610066,-0.16028875157550615,-0.269545266341189,293,0.24914675767918087,0.8574218346094701
0.1,2.0,0.618,0.79,7,19,0.005,-0.29855184632751147,-0.17454293677560184,-0.24801781910381926,343,0.33527696793002915,0.8480904509727797
0.3,2.0,0.5,0.79,8,19,0.005,-0.2999496787155203,-0.17501078885061638,-0.24987777972980785,467,0.3361884368308351,0.8858132110723498
0.2,2.0,0.618,0.79,8,19,0.005,-0.30008454453011185,-0.17265300327551503,-0.25486308250919365,303,0.33003300330033003,0.8344349706691917
0.2,2.0,0.5,0.79,8,20,0.005,-0.3001998091171201,-0.16952241807570023,-0.2613547820828397,525,0.34095238095238095,0.9010809657083391
0.1,2.5,0.618,0.79,8,19,0.005,-0.30121661310508036,-0.16512205955051762,-0.27218910710912547,299,0.2842809364548495,0.8515670903717081
0.3,2.0,0.618,0.79,7,20,0.005,-0.30162790173486526,-0.1768650224256092,-0.24952575861851212,349,0.335243553008596,0.8490993483554004
0.2,2.0,0.5,0.79,7,20,0.005,-0.30670461117297715,-0.1659084496507529,-0.2815923230444485,563,0.3428063943161634,0.9068858678921259
0.1,2.5,0.5,0.79,7,20,0.0075,-0.3068414098897871,-0.16149749393858825,-0.29068783190239766,512,0.30078125,0.9404332970825813
0.3,2.0,0.5,0.79,7,19,0.005,-0.3072422344552011,-0.17175329377567072,-0.27097788135906076,505,0.33861386138613864,0.8935715196005026
0.3,2.5,0.5,0.79,7,20,0.0075,-0.30739982718160386,-0.15566340601350648,-0.30347284233619476,484,0.29958677685950413,0.939611994545049
0.3,2.0,0.618,0.79,8,19,0.005,-0.31157746411505405,-0.18078330565052236,-0.26158831692906337,294,0.32653061224489793,0.8228645647662841
0.2,2.0,0.618,0.79,7,19,0.005,-0.3129091992359824,-0.18440692485057453,-0.2570045487708158,335,0.33134328358208953,0.8361401486254266
0.1,3.0,0.618,0.79,8,20,0.005,-0.31474463018409676,-0.17164154212552907,-0.2862061761171354,313,0.24920127795527156,0.8582544792374506
0.1,2.5,0.618,0.79,7,20,0.005,-0.31935734831341706,-0.18231861791311388,-0.27407746080060635,352,0.2869318181818182,0.8586504701359063
0.3,2.5,0.618,0.79,8,20,0.005,-0.322302604820768,-0.18001112198802538,-0.28458296566548524,308,0.2824675324675325,0.8439157061228397
0.2,2.5,0.618,0.79,8,20,0.005,-0.32413674810947535,-0.18108424320052563,-0.28610500981789944,315,0.28253968253968254,0.8451043928026466
0.1,2.5,0.5,0.79,8,20,0.0075,-0.324558286725182,-0.15704602793855305,-0.3350245175732579,480,0.3,0.9410150880380589
0.1,2.0,0.5,0.79,7,19,0.005,-0.32751797451477627,-0.1886652572007197,-0.27770543462811315,532,0.3383458646616541,0.8876395172153587
0.2,2.5,0.618,0.79,8,19,0.005,-0.3276950687442622,-0.18356202201298888,-0.2882660934625466,291,0.27835051546391754,0.8306742805096939
0.3,2.0,0.618,0.79,7,19,0.005,-0.32871882983545375,-0.1954732955005717,-0.26649106866976413,324,0.3271604938271605,0.822465026489936
0.3,2.5,0.618,0.79,8,19,0.005,-0.3327148402762029,-0.18721863472549016,-0.2909924111014255,285,0.2771929824561403,0.825104547210499
0.2,3.0,0.618,0.79,8,19,0.005,-0.33494395448437997,-0.18808242860047875,-0.29372305176780245,285,0.24210526315789474,0.8278079026957857
0.1,2.5,0.618,0.79,7,19,0.005,-0.33517833910406164,-0.1942647749755686,-0.2818271282569861,327,0.28134556574923547,0.8366563740069032
0.1,2.0,0.5,0.79,8,19,0.005,-0.33757982841430834,-0.2057496786756693,-0.2636602994772781,492,0.3333333333333333,0.8713561270954383
0.3,2.0,0.5,0.79,8,20,0.0075,-0.3377435353011332,-0.1726938876009818,-0.3300992954003028,508,0.3484251968503937,0.9293197907002958
0.3,3.0,0.618,0.79,8,19,0.005,-0.3398656869633866,-0.19573738220047077,-0.28825660952583165,279,0.24014336917562723,0.8156536594139854
0.1,3.0,0.618,0.79,7,19,0.005,-0.34204681374817697,-0.1990973886255495,-0.28589885024525497,322,0.2453416149068323,0.833313352370618
0.3,2.0,0.5,0.79,7,20,0.0075,-0.34695355076394097,-0.16810019730104364,-0.35770670692579465,546,0.3498168498168498,0.9335003317705081
0.1,2.5,0.5,0.79,7,19,0.0075,-0.3510157055901635,-0.20233369935097278,-0.2973640124783814,474,0.29535864978902954,0.9151102437280237
