min_gap,rr_target,fib_lower,fib_upper,risk_pct,score,total_return,max_drawdown,trades,win_rate,profit_factor
0.1,2.0,0.5,0.79,0.005,-0.16567117170254547,-0.07661754535047904,-0.17810725270413286,265,0.35094339622641507,0.9147182603002076
0.3,2.0,0.5,0.79,0.005,-0.17671596269315426,-0.08314371062542991,-0.1871445041354487,246,0.34552845528455284,0.9007638533555221
0.1,2.0,0.618,0.79,0.005,-0.17706886074632827,-0.09196219650039639,-0.17021332849186377,183,0.3442622950819672,0.8547935391516867
0.1,2.5,0.5,0.79,0.005,-0.17928415129544445,-0.09388394597543259,-0.17080041064002371,244,0.29508196721311475,0.8949542132474921
0.2,2.0,0.5,0.79,0.005,-0.19208577107044505,-0.09966398230046225,-0.1848435775399656,257,0.3424124513618677,0.8858574244863373
0.2,2.0,0.618,0.79,0.005,-0.19282174904637245,-0.10518746452537953,-0.17526856904198584,178,0.33707865168539325,0.8305421735626313
0.1,3.0,0.618,0.79,0.005,-0.20748382940879861,-0.11090227540035846,-0.1931631080168803,171,0.25146198830409355,0.8362819909076575
0.2,2.5,0.5,0.79,0.005,-0.21933438357399798,-0.12287590742541865,-0.19291695229715866,238,0.2857142857142857,0.8582401442739833
0.1,2.5,0.618,0.79,0.005,-0.22039938334121456,-0.12887164318787403,-0.18305548030668106,172,0.27906976744186046,0.8026580703454909
0.3,2.5,0.5,0.79,0.005,-0.22912135657450428,-0.12807379450038725,-0.20209512414823405,227,0.28193832599118945,0.8453806336461568
0.3,2.0,0.618,0.79,0.005,-0.23032182320487316,-0.13538097017537443,-0.18988170605899746,168,0.32142857142857145,0.7724091058639208
0.2,3.0,0.618,0.79,0.005,-0.2408421662011136,-0.13754867537534243,-0.20658698165154232,166,0.24096385542168675,0.7919781909346452
0.1,2.0,0.5,0.79,0.0075,-0.24633333974486216,-0.1179792202006944,-0.2567082390883355,265,0.35094339622641507,0.9095799150568779
0.2,2.5,0.618,0.79,0.005,-0.24874487099374698,-0.14816879800035754,-0.20115214598677889,167,0.2694610778443114,0.7679962996898123
0.1,2.0,0.618,0.79,0.0075,-0.26020963484074594,-0.13731491782557015,-0.24578943403035158,183,0.3442622950819672,0.8500413406542205
0.3,2.0,0.5,0.79,0.0075,-0.26101751850789484,-0.12663542977562248,-0.26876417746454473,246,0.34552845528455284,0.895963230601528
0.1,2.5,0.5,0.79,0.0075,-0.2669171472085151,-0.14345234733812529,-0.24692959974077966,244,0.29508196721311475,0.8892222541521405
0.3,3.0,0.618,0.79,0.005,-0.2763487244159149,-0.16680515657533557,-0.21908713568115867,158,0.22784810126582278,0.7366458793177214
0.2,2.0,0.618,0.79,0.0075,-0.2830840001315074,-0.15654115385054468,-0.2530856925619255,178,0.33707865168539325,0.8253992814726147
0.2,2.0,0.5,0.79,0.0075,-0.2835278241141491,-0.15060891875066673,-0.2658378107269648,257,0.3424124513618677,0.8807532747067298
