min_gap,fib_lower,fib_upper,tp_extension,stop_buffer,entry_at,score,total_return,max_drawdown,trades,win_rate,profit_factor
0.2,0.5,0.618,-0.618,0.2,mid,0.06014564953602425,0.08390429920746723,-0.047517299342885955,94,0.3617021276595745,1.2513001670717494
0.2,0.5,0.618,-0.618,0.3,mid,0.05511855990704306,0.07881475259704551,-0.0473923853800049,93,0.3655913978494624,1.2417500411452425
0.3,0.5,0.618,-0.618,0.2,mid,0.053049871760727785,0.07680852143217076,-0.047517299342885955,92,0.358695652173913,1.2330963257566603
0.3,0.5,0.618,-0.618,0.3,mid,0.04863980453304728,0.07233599722304973,-0.0473923853800049,91,0.3626373626373626,1.224894531134071
0.2,0.5,0.618,-0.618,0.1,mid,0.04398170595073009,0.06780434012071468,-0.04764526833996918,95,0.3473684210526316,1.1981255150345154
0.3,0.5,0.618,-0.618,0.1,mid,0.036352717331533835,0.060175351501518426,-0.04764526833996918,93,0.34408602150537637,1.1780991753126377
0.2,0.5,0.618,-1.0,0.3,mid,0.035704217395858606,0.06491346002486131,-0.058418485258005415,86,0.29069767441860467,1.1948760324768661
0.4,0.5,0.618,-0.618,0.2,mid,0.034541787910428,0.05830043758187098,-0.047517299342885955,92,0.34782608695652173,1.1763983824579352
0.4,0.5,0.618,-0.618,0.3,mid,0.028423024648809858,0.05419471594045033,-0.05154338258328095,91,0.3516483516483517,1.167912653464489
0.3,0.5,0.618,-1.0,0.3,mid,0.025295116216086322,0.05450399854986632,-0.05841776466755999,84,0.2857142857142857,1.1657546780538832
0.4,0.5,0.618,-0.618,0.1,mid,0.013457240322182318,0.041646072988919425,-0.056377665333474214,93,0.3333333333333333,1.122977078736808
0.4,0.5,0.618,-1.0,0.3,mid,0.0035049120747552287,0.03271374522486559,-0.058417666300220716,84,0.27380952380952384,1.0995224661151668
0.2,0.5,0.618,-1.0,0.2,mid,-0.002345728743762876,0.027188313899887184,-0.05906808528730012,87,0.26436781609195403,1.0784002530304653
0.3,0.5,0.618,-1.0,0.2,mid,-0.013108349360519078,0.016425874424891074,-0.059068447570820304,85,0.25882352941176473,1.0479636820967313
0.2,0.5,0.618,-1.0,0.1,mid,-0.03466427334767186,0.000797371174832362,-0.07092328904500844,89,0.24719101123595505,1.0022355042485995
0.4,0.5,0.618,-1.0,0.2,mid,-0.03544865858805546,-0.004943877500107718,-0.06100956217589548,85,0.24705882352941178,0.9855469843079621
0.2,0.5,0.618,-1.0,0.3,edge,-0.041860233640496736,-0.0027494112001098525,-0.07822164488077377,68,0.2647058823529412,0.9898982653887985
0.3,0.5,0.618,-1.0,0.1,mid,-0.04337089816573003,-0.010494594350161979,-0.0657526076311361,87,0.2413793103448276,0.9702187631493395
0.3,0.5,0.618,-2.0,0.3,mid,-0.05027517620960792,-0.010810870875125,-0.07892861066896584,78,0.16666666666666666,0.968852831724203
0.4,0.5,0.618,-1.0,0.3,edge,-0.05757823091620917,-0.01711284610010111,-0.08093076963221613,63,0.25396825396825395,0.9338228857707237
0.4,0.5,0.618,-2.0,0.3,mid,-0.05813632859727741,-0.01617891000012739,-0.08391483719430004,79,0.16455696202531644,0.9538719654042441
0.3,0.5,0.618,-1.0,0.3,edge,-0.06383851165764931,-0.023370521200101524,-0.08093598091509557,64,0.25,0.911053274945955
0.2,0.5,0.618,-1.0,0.1,edge,-0.06889328580078136,-0.014377545650136048,-0.10903148030129062,69,0.2463768115942029,0.9492281408110889
0.2,0.5,0.618,-1.0,0.2,edge,-0.07117400684627434,-0.02112492895008644,-0.1000981557923758,69,0.2463768115942029,0.9248710318767376
0.4,0.5,0.618,-1.0,0.1,mid,-0.07454900991442359,-0.03167379155016159,-0.085750436728524,87,0.22988505747126436,0.9099532766565754
0.2,0.5,0.618,-0.618,0.3,edge,-0.0770630679391131,-0.03732408507280993,-0.07947796573260635,68,0.29411764705882354,0.8554616702144167
