min_gap,fib_lower,fib_upper,tp_extension,stop_buffer,entry_at,score,total_return,max_drawdown,trades,win_rate,profit_factor
0.3,0.5,0.618,-0.618,0.3,mid,-0.040070007064526125,-0.0017152749554639746,-0.0767094642181243,153,0.3202614379084967,0.9968969801605005
0.2,0.5,0.618,-0.618,0.3,mid,-0.04016661460320403,0.0006064761865167689,-0.0815461815794416,159,0.32075471698113206,1.0010562048579272
0.2,0.5,0.618,-0.618,0.2,mid,-0.044515386919737165,-0.003848440396743591,-0.08133389304598715,160,0.3125,0.9934600626788584
0.3,0.5,0.618,-0.618,0.2,mid,-0.045281250002620566,-0.0070349122589259405,-0.07649267548738925,154,0.3116883116883117,0.9875869270064588
0.4,0.5,0.618,-0.618,0.2,mid,-0.051713923511339244,-0.01325101257022021,-0.07692582188223807,152,0.3092105263157895,0.9761460556118913
0.4,0.5,0.618,-0.618,0.3,mid,-0.05247648323967491,-0.007732736588656586,-0.08948749330203665,151,0.31788079470198677,0.9857278195610919
0.2,0.5,0.618,-1.0,0.3,mid,-0.08083788028321703,-0.023184557100224046,-0.11530664636598598,140,0.25,0.9569428299185357
0.3,0.5,0.618,-1.0,0.3,mid,-0.09170051199711177,-0.033552302200203665,-0.1162964195938162,134,0.2462686567164179,0.9349666801503992
0.2,0.5,0.618,-0.618,0.1,mid,-0.09185134895500274,-0.04914024949913742,-0.08542219891173064,161,0.2919254658385093,0.9180418382196934
0.3,0.5,0.618,-0.618,0.1,mid,-0.09292608738641844,-0.05308261174171469,-0.0796869512894075,155,0.2903225806451613,0.9081534362862939
0.4,0.5,0.618,-0.618,0.1,mid,-0.1050251687505907,-0.05926170155710675,-0.0915269343869679,153,0.2875816993464052,0.8954314529314995
0.4,0.5,0.618,-1.0,0.3,mid,-0.10785858982766366,-0.0429736291751982,-0.12976992130493092,132,0.24242424242424243,0.9147929532941742
0.2,0.5,0.618,-1.0,0.2,mid,-0.12290543043527258,-0.05793710505018268,-0.1299366507701798,142,0.2323943661971831,0.8957986498486213
0.3,0.5,0.618,-1.0,0.2,mid,-0.13473847993395488,-0.069062008775165,-0.13135294231757977,136,0.22794117647058823,0.8704964657091672
0.3,0.5,0.618,-2.0,0.3,mid,-0.1394991427974555,-0.06722128625019086,-0.1445557130945293,123,0.15447154471544716,0.8726003869149253
