min_gap,fib_lower,fib_upper,stop_buffer,entry_at,max_zone_age_bars,min_impulse_size,strong_impulse_size,score,total_return,max_drawdown,trades,win_rate,profit_factor
0.25,0.55,0.7,0.2,mid,8,3.0,4.0,0.13702920760609566,0.1630974770498892,-0.05213653888758707,78,0.2948717948717949,1.5240661203455719
0.25,0.55,0.7,0.2,mid,8,3.0,4.5,0.13702920760609566,0.1630974770498892,-0.05213653888758707,78,0.2948717948717949,1.5240661203455719
0.25,0.55,0.7,0.2,mid,8,3.5,4.0,0.13702920760609566,0.1630974770498892,-0.05213653888758707,78,0.2948717948717949,1.5240661203455719
0.25,0.55,0.7,0.2,mid,8,3.5,4.5,0.13702920760609566,0.1630974770498892,-0.05213653888758707,78,0.2948717948717949,1.5240661203455719
0.25,0.55,0.7,0.25,mid,8,3.5,4.5,0.1306828547223095,0.15664507329987587,-0.05192443715513273,78,0.2948717948717949,1.5053240235713754
0.25,0.55,0.7,0.25,mid,8,3.5,4.0,0.1306828547223095,0.15664507329987587,-0.05192443715513273,78,0.2948717948717949,1.5053240235713754
0.25,0.55,0.7,0.25,mid,8,3.0,4.5,0.1306828547223095,0.15664507329987587,-0.05192443715513273,78,0.2948717948717949,1.5053240235713754
0.25,0.55,0.7,0.25,mid,8,3.0,4.0,0.1306828547223095,0.15664507329987587,-0.05192443715513273,78,0.2948717948717949,1.5053240235713754
0.3,0.55,0.7,0.2,mid,8,3.5,4.5,0.09739287987547479,0.12346115799990343,-0.05213655624885727,75,0.28,1.4054160251529775
0.3,0.55,0.7,0.2,mid,8,3.5,4.0,0.09739287987547479,0.12346115799990343,-0.05213655624885727,75,0.28,1.4054160251529775
0.3,0.55,0.7,0.2,mid,8,3.0,4.5,0.09739287987547479,0.12346115799990343,-0.05213655624885727,75,0.28,1.4054160251529775
0.3,0.55,0.7,0.2,mid,8,3.0,4.0,0.09739287987547479,0.12346115799990343,-0.05213655624885727,75,0.28,1.4054160251529775
0.3,0.55,0.7,0.25,mid,8,3.0,4.0,0.09214816311333257,0.11811009962488961,-0.051923873023114075,75,0.28,1.3893256395274531
0.3,0.55,0.7,0.25,mid,8,3.0,4.5,0.09214816311333257,0.11811009962488961,-0.051923873023114075,75,0.28,1.3893256395274531
0.3,0.55,0.7,0.25,mid,8,3.5,4.0,0.09214816311333257,0.11811009962488961,-0.051923873023114075,75,0.28,1.3893256395274531
0.3,0.55,0.7,0.25,mid,8,3.5,4.5,0.09214816311333257,0.11811009962488961,-0.051923873023114075,75,0.28,1.3893256395274531
0.25,0.6,0.7,0.2,edge,8,3.5,4.5,0.07007239383701902,0.09420641729993706,-0.04826804692583608,28,0.32142857142857145,1.9747099117901539
0.25,0.6,0.7,0.2,edge,8,3.5,4.0,0.07007239383701902,0.09420641729993706,-0.04826804692583608,28,0.32142857142857145,1.9747099117901539
0.25,0.6,0.7,0.2,mid,8,3.5,4.5,0.06862282239668949,0.10373880202491748,-0.07023195925645598,50,0.28,1.499906262818374
0.25,0.6,0.7,0.2,mid,8,3.5,4.0,0.06862282239668949,0.10373880202491748,-0.07023195925645598,50,0.28,1.499906262818374
0.25,0.6,0.7,0.2,mid,8,3.0,4.5,0.06862282239668949,0.10373880202491748,-0.07023195925645598,50,0.28,1.499906262818374
0.25,0.6,0.7,0.2,mid,8,3.0,4.0,0.06862282239668949,0.10373880202491748,-0.07023195925645598,50,0.28,1.499906262818374
0.25,0.6,0.7,0.25,edge,8,3.5,4.0,0.06717503425431987,0.0910266774499322,-0.047703286391224675,28,0.32142857142857145,1.9449757022768117
0.25,0.6,0.7,0.25,edge,8,3.5,4.5,0.06717503425431987,0.0910266774499322,-0.047703286391224675,28,0.32142857142857145,1.9449757022768117
0.25,0.6,0.7,0.25,mid,8,3.5,4.0,0.06444535783591698,0.09940482889990765,-0.06991894212798133,50,0.28,1.4806269181336955
0.25,0.6,0.7,0.25,mid,8,3.5,4.5,0.06444535783591698,0.09940482889990765,-0.06991894212798133,50,0.28,1.4806269181336955
0.25,0.6,0.7,0.25,mid,8,3.0,4.0,0.06444535783591698,0.09940482889990765,-0.06991894212798133,50,0.28,1.4806269181336955
0.25,0.6,0.7,0.25,mid,8,3.0,4.5,0.06444535783591698,0.09940482889990765,-0.06991894212798133,50,0.28,1.4806269181336955
0.25,0.6,0.7,0.2,edge,8,3.0,4.5,0.05665492288701357,0.08078894634993161,-0.04826804692583608,30,0.3,1.748140595530423
0.25,0.6,0.7,0.2,edge,8,3.0,4.0,0.05665492288701357,0.08078894634993161,-0.04826804692583608,30,0.3,1.748140595530423
0.25,0.6,0.7,0.25,edge,8,3.0,4.0,0.053888069804312766,0.0777397129999251,-0.047703286391224675,30,0.3,1.7225897260760312
0.25,0.6,0.7,0.25,edge,8,3.0,4.5,0.053888069804312766,0.0777397129999251,-0.047703286391224675,30,0.3,1.7225897260760312
0.25,0.55,0.65,0.2,mid,8,3.5,4.5,0.047178306530736736,0.07241153402491918,-0.050466454988364884,66,0.2727272727272727,1.282598127688947
0.25,0.55,0.65,0.2,mid,8,3.5,4.0,0.047178306530736736,0.07241153402491918,-0.050466454988364884,66,0.2727272727272727,1.282598127688947
0.25,0.55,0.65,0.2,mid,8,3.0,4.5,0.047178306530736736,0.07241153402491918,-0.050466454988364884,66,0.2727272727272727,1.282598127688947
0.25,0.55,0.65,0.2,mid,8,3.0,4.0,0.047178306530736736,0.07241153402491918,-0.050466454988364884,66,0.2727272727272727,1.282598127688947
0.25,0.55,0.65,0.25,mid,8,3.0,4.0,0.04304011073121933,0.06822433787490834,-0.05036845428737802,66,0.2727272727272727,1.2670376959645286
0.25,0.55,0.65,0.25,mid,8,3.0,4.5,0.04304011073121933,0.06822433787490834,-0.05036845428737802,66,0.2727272727272727,1.2670376959645286
0.25,0.55,0.65,0.25,mid,8,3.5,4.0,0.04304011073121933,0.06822433787490834,-0.05036845428737802,66,0.2727272727272727,1.2670376959645286
0.25,0.55,0.65,0.25,mid,8,3.5,4.5,0.04304011073121933,0.06822433787490834,-0.05036845428737802,66,0.2727272727272727,1.2670376959645286
0.25,0.55,0.7,0.2,mid,6,3.0,4.0,0.03758563926060343,0.07310651447491079,-0.07104175042861471,65,0.26153846153846155,1.2779546814819491
0.25,0.55,0.7,0.2,mid,6,3.0,4.5,0.03758563926060343,0.07310651447491079,-0.07104175042861471,65,0.26153846153846155,1.2779546814819491
0.25,0.55,0.7,0.2,mid,6,3.5,4.0,0.03758563926060343,0.07310651447491079,-0.07104175042861471,65,0.26153846153846155,1.2779546814819491
0.25,0.55,0.7,0.2,mid,6,3.5,4.5,0.03758563926060343,0.07310651447491079,-0.07104175042861471,65,0.26153846153846155,1.2779546814819491
0.25,0.6,0.65,0.2,edge,8,3.5,4.0,0.03637050494891153,0.06050525404996199,-0.04826949820210091,17,0.35294117647058826,2.079771369610578
0.25,0.6,0.65,0.2,edge,8,3.5,4.5,0.03637050494891153,0.06050525404996199,-0.04826949820210091,17,0.35294117647058826,2.079771369610578
0.25,0.6,0.7,0.2,edge,6,3.5,4.5,0.034527154187037,0.05866117764995504,-0.04826804692583608,24,0.2916666666666667,1.6575371541225121
0.25,0.6,0.7,0.2,edge,6,3.5,4.0,0.034527154187037,0.05866117764995504,-0.04826804692583608,24,0.2916666666666667,1.6575371541225121
0.25,0.6,0.65,0.25,edge,8,3.5,4.5,0.034456071445338965,0.05830887679995955,-0.047705610709241175,17,0.35294117647058826,2.0433536911575145
0.25,0.6,0.65,0.25,edge,8,3.5,4.0,0.034456071445338965,0.05830887679995955,-0.047705610709241175,17,0.35294117647058826,2.0433536911575145
0.25,0.55,0.7,0.25,mid,6,3.5,4.5,0.033030622138037424,0.06849301267489882,-0.0709247810737228,65,0.26153846153846155,1.261348045532094
0.25,0.55,0.7,0.25,mid,6,3.5,4.0,0.033030622138037424,0.06849301267489882,-0.0709247810737228,65,0.26153846153846155,1.261348045532094
0.25,0.55,0.7,0.25,mid,6,3.0,4.5,0.033030622138037424,0.06849301267489882,-0.0709247810737228,65,0.26153846153846155,1.261348045532094
0.25,0.55,0.7,0.25,mid,6,3.0,4.0,0.033030622138037424,0.06849301267489882,-0.0709247810737228,65,0.26153846153846155,1.261348045532094
0.25,0.6,0.7,0.25,edge,6,3.5,4.0,0.03251221550433786,0.0563638586999502,-0.047703286391224675,24,0.2916666666666667,1.6335768138569668
0.25,0.6,0.7,0.25,edge,6,3.5,4.5,0.03251221550433786,0.0563638586999502,-0.047703286391224675,24,0.2916666666666667,1.6335768138569668
0.25,0.6,0.65,0.2,edge,8,3.0,4.0,0.02988897344890734,0.0540237225499578,-0.04826949820210091,18,0.3333333333333333,1.874097731123458
0.25,0.6,0.65,0.2,edge,8,3.0,4.5,0.02988897344890734,0.0540237225499578,-0.04826949820210091,18,0.3333333333333333,1.874097731123458
0.25,0.6,0.65,0.25,edge,8,3.0,4.5,0.028028753345334223,0.05188155869995481,-0.047705610709241175,18,0.3333333333333333,1.8419774872684285
0.25,0.6,0.65,0.25,edge,8,3.0,4.0,0.028028753345334223,0.05188155869995481,-0.047705610709241175,18,0.3333333333333333,1.8419774872684285
0.25,0.6,0.7,0.2,edge,6,3.0,4.5,0.027975936737035023,0.052109960199953065,-0.04826804692583608,25,0.28,1.5478951423632195
0.25,0.6,0.7,0.2,edge,6,3.0,4.0,0.027975936737035023,0.052109960199953065,-0.04826804692583608,25,0.28,1.5478951423632195
0.25,0.6,0.7,0.25,edge,6,3.0,4.0,0.026024897354335386,0.04987654054994772,-0.047703286391224675,25,0.28,1.5260576975922966
0.25,0.6,0.7,0.25,edge,6,3.0,4.5,0.026024897354335386,0.04987654054994772,-0.047703286391224675,25,0.28,1.5260576975922966
0.25,0.6,0.7,0.2,mid,6,3.0,4.0,0.025003936325481257,0.06011966717493378,-0.07023146169890504,42,0.2619047619047619,1.3368985413498282
0.25,0.6,0.7,0.2,mid,6,3.0,4.5,0.025003936325481257,0.06011966717493378,-0.07023146169890504,42,0.2619047619047619,1.3368985413498282
0.25,0.6,0.7,0.2,mid,6,3.5,4.0,0.025003936325481257,0.06011966717493378,-0.07023146169890504,42,0.2619047619047619,1.3368985413498282
0.25,0.6,0.7,0.2,mid,6,3.5,4.5,0.025003936325481257,0.06011966717493378,-0.07023146169890504,42,0.2619047619047619,1.3368985413498282
0.25,0.6,0.7,0.25,mid,6,3.5,4.5,0.021997130527839526,0.05695677839992497,-0.06991929574417088,42,0.2619047619047619,1.3202141073513014
0.25,0.6,0.7,0.25,mid,6,3.5,4.0,0.021997130527839526,0.05695677839992497,-0.06991929574417088,42,0.2619047619047619,1.3202141073513014
0.25,0.6,0.7,0.25,mid,6,3.0,4.5,0.021997130527839526,0.05695677839992497,-0.06991929574417088,42,0.2619047619047619,1.3202141073513014
0.25,0.6,0.7,0.25,mid,6,3.0,4.0,0.021997130527839526,0.05695677839992497,-0.06991929574417088,42,0.2619047619047619,1.3202141073513014
0.3,0.55,0.65,0.2,mid,8,3.0,4.0,0.015769354380745337,0.04100258187492778,-0.050466454988364884,63,0.25396825396825395,1.1637276188074335
0.3,0.55,0.65,0.2,mid,8,3.0,4.5,0.015769354380745337,0.04100258187492778,-0.050466454988364884,63,0.25396825396825395,1.1637276188074335
0.3,0.55,0.65,0.2,mid,8,3.5,4.0,0.015769354380745337,0.04100258187492778,-0.050466454988364884,63,0.25396825396825395,1.1637276188074335
0.3,0.55,0.65,0.2,mid,8,3.5,4.5,0.015769354380745337,0.04100258187492778,-0.050466454988364884,63,0.25396825396825395,1.1637276188074335
0.3,0.55,0.65,0.25,mid,8,3.5,4.5,0.012460690531227725,0.037644917674916734,-0.05036845428737802,63,0.25396825396825395,1.1507504916142202
0.3,0.55,0.65,0.25,mid,8,3.5,4.0,0.012460690531227725,0.037644917674916734,-0.05036845428737802,63,0.25396825396825395,1.1507504916142202
0.3,0.55,0.65,0.25,mid,8,3.0,4.5,0.012460690531227725,0.037644917674916734,-0.05036845428737802,63,0.25396825396825395,1.1507504916142202
0.3,0.55,0.65,0.25,mid,8,3.0,4.0,0.012460690531227725,0.037644917674916734,-0.05036845428737802,63,0.25396825396825395,1.1507504916142202
0.3,0.6,0.7,0.2,edge,8,3.5,4.0,0.00928403443703163,0.03341805789994967,-0.04826804692583608,25,0.24,1.3515631348002737
0.3,0.6,0.7,0.2,edge,8,3.5,4.5,0.00928403443703163,0.03341805789994967,-0.04826804692583608,25,0.24,1.3515631348002737
0.3,0.6,0.7,0.2,mid,8,3.5,4.0,0.0078121469220666095,0.044506407499934175,-0.07338852115573513,46,0.2391304347826087,1.224262012944834
0.3,0.6,0.7,0.2,mid,8,3.5,4.5,0.0078121469220666095,0.044506407499934175,-0.07338852115573513,46,0.2391304347826087,1.224262012944834
0.3,0.6,0.7,0.2,mid,8,3.0,4.0,0.0078121469220666095,0.044506407499934175,-0.07338852115573513,46,0.2391304347826087,1.224262012944834
0.3,0.6,0.7,0.2,mid,8,3.0,4.5,0.0078121469220666095,0.044506407499934175,-0.07338852115573513,46,0.2391304347826087,1.224262012944834
0.3,0.6,0.7,0.25,edge,8,3.5,4.5,0.007530569999732839,0.03147722199994507,-0.047893304000424464,25,0.24,1.3321451489043692
