min_gap,fib_lower,fib_upper,stop_buffer,entry_at,max_zone_age_bars,min_impulse_size,strong_impulse_size,strong_only,score,total_return,max_drawdown,trades,win_rate,profit_factor
0.25,0.55,0.75,0.2,mid,8,3.0,4.0,True,0.1709018846553252,0.20361605042487363,-0.06542833153909688,89,0.2808988764044944,1.579266144140184
0.25,0.55,0.75,0.2,mid,8,3.5,4.0,True,0.1709018846553252,0.20361605042487363,-0.06542833153909688,89,0.2808988764044944,1.579266144140184
0.25,0.6,0.75,0.2,edge,8,3.0,4.5,True,0.164366724899857,0.1843206004499489,-0.03990775110018385,33,0.36363636363636365,2.518389760499009
0.25,0.6,0.75,0.2,edge,8,3.5,4.5,True,0.164366724899857,0.1843206004499489,-0.03990775110018385,33,0.36363636363636365,2.518389760499009
0.25,0.55,0.75,0.25,mid,8,3.5,4.0,True,0.1633689382995412,0.19584445172485876,-0.06495102685063514,89,0.2808988764044944,1.5595521085723563
0.25,0.55,0.75,0.25,mid,8,3.0,4.0,True,0.1633689382995412,0.19584445172485876,-0.06495102685063514,89,0.2808988764044944,1.5595521085723563
0.25,0.6,0.75,0.25,edge,8,3.5,4.5,True,0.1603109038542755,0.17980313034994366,-0.03898445299133635,33,0.36363636363636365,2.486779136015605
0.25,0.6,0.75,0.25,edge,8,3.0,4.5,True,0.1603109038542755,0.17980313034994366,-0.03898445299133635,33,0.36363636363636365,2.486779136015605
0.25,0.6,0.75,0.2,edge,8,3.0,4.0,True,0.15779517188757736,0.17774875159992454,-0.03990715942469436,39,0.3333333333333333,2.213397913410159
0.25,0.6,0.75,0.2,edge,8,3.5,4.0,True,0.15779517188757736,0.17774875159992454,-0.03990715942469436,39,0.3333333333333333,2.213397913410159
0.25,0.6,0.75,0.2,edge,6,3.0,4.5,True,0.15659344160831062,0.17324567449995643,-0.033304465783291604,29,0.3793103448275862,2.6060197405066456
0.25,0.6,0.75,0.2,edge,6,3.5,4.5,True,0.15659344160831062,0.17324567449995643,-0.033304465783291604,29,0.3793103448275862,2.6060197405066456
0.25,0.55,0.75,0.2,mid,8,3.0,4.5,True,0.15535854770533675,0.1880727134748852,-0.06542833153909688,86,0.27906976744186046,1.54520691492846
0.25,0.55,0.75,0.2,mid,8,3.5,4.5,True,0.15535854770533675,0.1880727134748852,-0.06542833153909688,86,0.27906976744186046,1.54520691492846
0.25,0.6,0.75,0.25,edge,8,3.5,4.0,True,0.15330377860897149,0.17279577634991705,-0.03898399548189113,39,0.3333333333333333,2.184760980372023
0.25,0.6,0.75,0.25,edge,8,3.0,4.0,True,0.15330377860897149,0.17279577634991705,-0.03898399548189113,39,0.3333333333333333,2.184760980372023
0.25,0.6,0.75,0.25,edge,6,3.5,4.5,True,0.1526658265835204,0.1690440402499518,-0.03275642733286277,29,0.3793103448275862,2.572536897191001
0.25,0.6,0.75,0.25,edge,6,3.0,4.5,True,0.1526658265835204,0.1690440402499518,-0.03275642733286277,29,0.3793103448275862,2.572536897191001
0.25,0.55,0.75,0.25,mid,8,3.5,4.5,True,0.14851850809955242,0.18099402152486999,-0.06495102685063514,86,0.27906976744186046,1.5268522650480836
0.25,0.55,0.75,0.25,mid,8,3.0,4.5,True,0.14851850809955242,0.18099402152486999,-0.06495102685063514,86,0.27906976744186046,1.5268522650480836
0.25,0.6,0.75,0.2,edge,6,3.0,4.0,True,0.14077801455448707,0.15901214389994922,-0.03646825869092429,32,0.34375,2.325103361844969
0.25,0.6,0.75,0.2,edge,6,3.5,4.0,True,0.14077801455448707,0.15901214389994922,-0.03646825869092429,32,0.34375,2.325103361844969
0.25,0.6,0.75,0.25,edge,6,3.5,4.0,True,0.13679566929972214,0.15493790879994296,-0.03628447900044163,32,0.34375,2.2960654967022354
0.25,0.6,0.75,0.25,edge,6,3.0,4.0,True,0.13679566929972214,0.15493790879994296,-0.03628447900044163,32,0.34375,2.2960654967022354
0.3,0.55,0.75,0.2,mid,8,3.5,4.0,True,0.1365990699303392,0.16931323569988765,-0.06542833153909688,84,0.27380952380952384,1.4985652031222723
0.3,0.55,0.75,0.2,mid,8,3.0,4.0,True,0.1365990699303392,0.16931323569988765,-0.06542833153909688,84,0.27380952380952384,1.4985652031222723
0.3,0.55,0.75,0.25,mid,8,3.0,4.0,True,0.13018309214955598,0.16265860557487355,-0.06495102685063514,84,0.27380952380952384,1.480969264948841
0.3,0.55,0.75,0.25,mid,8,3.5,4.0,True,0.13018309214955598,0.16265860557487355,-0.06495102685063514,84,0.27380952380952384,1.480969264948841
0.3,0.55,0.75,0.2,mid,8,3.5,4.5,True,0.12114833070534914,0.15386249647489758,-0.06542833153909688,82,0.2682926829268293,1.4616964617244121
0.3,0.55,0.75,0.2,mid,8,3.0,4.5,True,0.12114833070534914,0.15386249647489758,-0.06542833153909688,82,0.2682926829268293,1.4616964617244121
0.3,0.55,0.75,0.25,mid,8,3.0,4.5,True,0.11541639217456595,0.14789190559988352,-0.06495102685063514,82,0.2682926829268293,1.4455580082735198
0.3,0.55,0.75,0.25,mid,8,3.5,4.5,True,0.11541639217456595,0.14789190559988352,-0.06495102685063514,82,0.2682926829268293,1.4455580082735198
0.25,0.55,0.7,0.2,mid,8,3.5,4.0,True,0.11215628772458952,0.14242588342489593,-0.06053919140061281,79,0.27848101265822783,1.475357261960397
