min_gap,fib_lower,fib_upper,stop_buffer,entry_at,max_zone_age_bars,min_impulse_size,strong_impulse_size,strong_only,allowed_weekdays,score,total_return,max_drawdown,trades,win_rate,profit_factor
0.25,0.55,0.7,0.2,mid,8,3.0,4.5,True,"(2, 3, 4)",0.09746435953565552,0.12387499152493509,-0.05282126397855913,49,0.30612244897959184,1.6835600765968948
0.25,0.55,0.7,0.2,mid,8,3.5,4.5,True,"(2, 3, 4)",0.09746435953565552,0.12387499152493509,-0.05282126397855913,49,0.30612244897959184,1.6835600765968948
0.25,0.55,0.7,0.25,mid,8,3.5,4.5,True,"(2, 3, 4)",0.09325768590445965,0.11959090989992727,-0.05266644799093523,49,0.30612244897959184,1.6619964732750498
0.25,0.55,0.7,0.25,mid,8,3.0,4.5,True,"(2, 3, 4)",0.09325768590445965,0.11959090989992727,-0.05266644799093523,49,0.30612244897959184,1.6619964732750498
0.25,0.55,0.7,0.2,mid,8,3.0,4.0,True,"(2, 3, 4)",0.0784938755500133,0.1104305682249298,-0.063873385349833,52,0.28846153846153844,1.5705863538653793
0.25,0.55,0.7,0.2,mid,8,3.5,4.0,True,"(2, 3, 4)",0.0784938755500133,0.1104305682249298,-0.063873385349833,52,0.28846153846153844,1.5705863538653793
0.25,0.55,0.7,0.25,mid,8,3.5,4.0,True,"(2, 3, 4)",0.07441851006903977,0.10625656192492094,-0.06367610371176236,52,0.28846153846153844,1.550875964977947
0.25,0.55,0.7,0.25,mid,8,3.0,4.0,True,"(2, 3, 4)",0.07441851006903977,0.10625656192492094,-0.06367610371176236,52,0.28846153846153844,1.550875964977947
0.25,0.6,0.7,0.2,edge,8,3.0,4.5,True,"(2, 3, 4)",0.04759482274893018,0.07172957184998063,-0.04826949820210091,14,0.35714285714285715,2.834213146335937
0.25,0.6,0.7,0.2,edge,8,3.5,4.5,True,"(2, 3, 4)",0.04759482274893018,0.07172957184998063,-0.04826949820210091,14,0.35714285714285715,2.834213146335937
0.25,0.6,0.7,0.25,edge,8,3.5,4.5,True,"(2, 3, 4)",0.04596073059535816,0.06981353594997874,-0.047705610709241175,14,0.35714285714285715,2.788925398368386
0.25,0.6,0.7,0.25,edge,8,3.0,4.5,True,"(2, 3, 4)",0.04596073059535816,0.06981353594997874,-0.047705610709241175,14,0.35714285714285715,2.788925398368386
0.25,0.6,0.7,0.2,edge,8,3.0,4.0,True,"(2, 3, 4)",0.034657226548922615,0.05879197564997307,-0.04826949820210091,17,0.29411764705882354,2.150191986884476
0.25,0.6,0.7,0.2,edge,8,3.5,4.0,True,"(2, 3, 4)",0.034657226548922615,0.05879197564997307,-0.04826949820210091,17,0.29411764705882354,2.150191986884476
0.25,0.6,0.7,0.25,edge,8,3.5,4.0,True,"(2, 3, 4)",0.03311183024535008,0.05696463559997067,-0.047705610709241175,17,0.29411764705882354,2.117632707369044
