min_gap,fib_lower,fib_upper,tp_extension,stop_buffer,entry_at,score,total_return,max_drawdown,trades,win_rate,profit_factor
0.2,0.5,0.618,-0.618,0.2,mid,0.04919471406103093,0.08349172694630158,-0.0685940257705413,120,0.35,1.18868025201793
0.3,0.5,0.618,-0.618,0.2,mid,0.04562487577599611,0.07992213197172071,-0.0685945123914492,114,0.3508771929824561,1.190893965457245
0.4,0.5,0.618,-0.618,0.2,mid,0.04147005428209777,0.07314157730032367,-0.0633430460364518,112,0.3482142857142857,1.178965894090223
0.2,0.5,0.618,-0.618,0.3,mid,0.034398030777524236,0.06881117569107165,-0.06882628982709482,120,0.35,1.1569860863760926
0.3,0.5,0.618,-0.618,0.3,mid,0.031765356455889904,0.06622226720119251,-0.06891382149060521,114,0.3508771929824561,1.159605094467461
0.4,0.5,0.618,-0.618,0.3,mid,0.027954404172985337,0.05979693046869761,-0.06368505259142454,112,0.3482142857142857,1.1475870743114402
0.2,0.5,0.618,-0.618,0.1,mid,0.004491253357401637,0.03865168744173553,-0.06832086816866778,120,0.325,1.085697775591256
0.3,0.5,0.618,-0.618,0.1,mid,7.833067863755039e-05,0.03423941121275953,-0.06832216106824396,114,0.32456140350877194,1.0801018447825315
0.4,0.5,0.618,-0.618,0.1,mid,-0.004049797503647812,0.027474401496264678,-0.06304839799982498,112,0.32142857142857145,1.0658002755854337
0.2,0.5,0.618,-1.0,0.3,mid,-0.02419933861820872,0.015210258949819755,-0.07881919513605695,106,0.2641509433962264,1.0365201374331805
0.2,0.5,0.618,-1.0,0.2,mid,-0.03726441517118817,0.0022361618748494294,-0.0790011540920752,107,0.2523364485981308,1.0051912179368347
0.3,0.5,0.618,-1.0,0.3,mid,-0.04085470975550354,-0.0014451592001640812,-0.07881910111067891,101,0.25742574257425743,0.9963764710902753
0.4,0.5,0.618,-1.0,0.3,mid,-0.04804224902931875,-0.011219640025159627,-0.07364521800831825,99,0.25252525252525254,0.9711384173971839
0.3,0.5,0.618,-1.0,0.2,mid,-0.05540549706042475,-0.015434781575135448,-0.0799414309705786,102,0.24509803921568626,0.9625900866899514
0.4,0.5,0.618,-1.0,0.2,mid,-0.06278203840028279,-0.025404216900131837,-0.07475564300030191,100,0.24,0.9368298203123706
0.2,0.5,0.618,-0.618,0.3,edge,-0.09306398520814935,-0.04929126421743624,-0.08754544198142622,81,0.2839506172839506,0.8386576705112387
0.4,0.5,0.618,-2.0,0.2,mid,-0.09479948323167614,-0.041268383775137085,-0.10706219891307811,97,0.15463917525773196,0.905015314544498
0.2,0.5,0.618,-0.618,0.2,edge,-0.1012837638389616,-0.057407507990611006,-0.08775251169670117,81,0.2716049382716049,0.8147570934956462
0.3,0.5,0.618,-2.0,0.2,mid,-0.10268568936247502,-0.046652166550138485,-0.11206704562467307,98,0.15306122448979592,0.8940148220809292
0.2,0.5,0.618,-1.0,0.1,mid,-0.10825499330750549,-0.05386033022521397,-0.10878932616458303,107,0.22429906542056074,0.8763967485105238
0.4,0.5,0.618,-0.618,0.3,edge,-0.11239403009455923,-0.06996715900031125,-0.08485374218849595,72,0.2638888888888889,0.7466207965863009
0.3,0.5,0.618,-0.618,0.3,edge,-0.11310080820221213,-0.07067371155420987,-0.08485419329600452,72,0.2638888888888889,0.7439278105551383
0.4,0.5,0.618,-2.0,0.3,mid,-0.12303030649483876,-0.06972323655016632,-0.10661413988934487,95,0.14736842105263157,0.8363867745251152
0.4,0.5,0.618,-0.618,0.2,edge,-0.1233020037222004,-0.07937544857528867,-0.08785311029382348,72,0.25,0.7168499438900664
0.3,0.5,0.618,-1.0,0.1,mid,-0.12345308139089617,-0.07181598942519529,-0.10327418393140175,102,0.21568627450980393,0.8280493481863443
0.3,0.5,0.618,-0.618,0.2,edge,-0.12440209901597094,-0.08011089322568699,-0.0885824115805679,72,0.25,0.7140694071576212
0.4,0.5,0.618,-2.0,0.1,mid,-0.12612808244074114,-0.061911701875204006,-0.12843276113107427,97,0.14432989690721648,0.8587868324075358
0.4,0.5,0.618,-1.0,0.1,mid,-0.1306277474778227,-0.08152841125018984,-0.0981986724552657,100,0.21,0.7998686541564691
0.3,0.5,0.618,-2.0,0.3,mid,-0.13073361231670577,-0.07493206942516872,-0.1116030857830741,96,0.14583333333333334,0.8264612271156009
0.3,0.5,0.618,-2.0,0.1,mid,-0.13388121337150266,-0.06721199510020681,-0.1333384365425917,98,0.14285714285714285,0.8486426373093475
0.2,0.5,0.618,-0.618,0.1,edge,-0.13658588216401035,-0.08419651093746305,-0.1047787424530946,81,0.24691358024691357,0.7349033484369754
0.2,0.5,0.618,-1.0,0.3,edge,-0.1376868397596967,-0.0838705051001234,-0.10763266931914661,78,0.20512820512820512,0.7387591208815898
0.2,0.5,0.618,-1.0,0.2,edge,-0.15539530914020666,-0.09628300065009576,-0.1182246169802218,78,0.19230769230769232,0.7034198776791096
0.2,0.5,0.618,-2.0,0.2,mid,-0.164216768013089,-0.09660894307515011,-0.13521564987587775,102,0.13725490196078433,0.7900820079505222
0.4,0.5,0.618,-0.618,0.1,edge,-0.1650298224615151,-0.10706740532003367,-0.11592483428296285,72,0.2222222222222222,0.6282502206650941
0.3,0.5,0.618,-0.618,0.1,edge,-0.166159751095191,-0.10782317717303236,-0.11667314784431726,72,0.2222222222222222,0.62540502830893
0.2,0.5,0.618,-1.0,0.1,edge,-0.18303632891706484,-0.114196075650149,-0.13768050653383168,79,0.17721518987341772,0.6578946925792747
0.4,0.5,0.618,-1.0,0.3,edge,-0.19026222944946392,-0.12311708100010221,-0.1342902968987234,70,0.17142857142857143,0.5827288904581329
0.3,0.5,0.618,-1.0,0.3,edge,-0.19148327110337987,-0.12393465770010093,-0.1350972268065579,70,0.17142857142857143,0.5796790510817825
0.2,0.5,0.618,-2.0,0.3,edge,-0.19189902939292103,-0.12612789080011977,-0.13154227718560252,71,0.11267605633802817,0.6083743936769804
0.2,0.5,0.618,-2.0,0.3,mid,-0.19602511137417677,-0.1275474982001854,-0.13695522634798274,101,0.12871287128712872,0.7209106985543642
0.2,0.5,0.618,-2.0,0.1,mid,-0.19767038205265824,-0.11707444892522301,-0.16119186625487048,102,0.12745098039215685,0.7477409499829756
0.4,0.5,0.618,-1.0,0.2,edge,-0.21116946284150223,-0.13687345520007654,-0.14859201528285138,70,0.15714285714285714,0.5412741678266598
0.3,0.5,0.618,-1.0,0.2,edge,-0.21243920360663648,-0.13772369800007556,-0.14943101121312186,70,0.15714285714285714,0.5380973625095632
0.3,0.5,0.618,-2.0,0.3,edge,-0.22416636009716956,-0.14768396405009643,-0.15296479209414626,63,0.09523809523809523,0.48853962249840005
0.4,0.5,0.618,-2.0,0.3,edge,-0.22420690533637233,-0.14771105015009656,-0.15299171037255155,63,0.09523809523809523,0.4884844411957039
0.2,0.5,0.618,-2.0,0.2,edge,-0.23740279269919046,-0.15649296625009146,-0.161819652898198,73,0.0958904109589041,0.5291005276276722
0.4,0.5,0.618,-1.0,0.1,edge,-0.24002554156715616,-0.15594357445012386,-0.16816393423406462,71,0.14084507042253522,0.492171227027862
0.3,0.5,0.618,-1.0,0.1,edge,-0.241342160151109,-0.15682552335012234,-0.1690332736019733,71,0.14084507042253522,0.4889121859998705
0.3,0.5,0.618,-2.0,0.2,edge,-0.27064663379375653,-0.1787022770500717,-0.18388871348736968,65,0.07692307692307693,0.40247071339671125
0.4,0.5,0.618,-2.0,0.2,edge,-0.27068764660565625,-0.17872967660007166,-0.18391594001116918,65,0.07692307692307693,0.40241810578520865
0.2,0.5,0.618,-2.0,0.1,edge,-0.2767134634107335,-0.18272224075014465,-0.1879824453211777,74,0.08108108108108109,0.46222226420431545
0.3,0.5,0.618,-2.0,0.1,edge,-0.3110859203352468,-0.2056864799001179,-0.21079888087025778,66,0.06060606060606061,0.3286257494518251
0.4,0.5,0.618,-2.0,0.1,edge,-0.3111232550145803,-0.20571142320011782,-0.21082366362892502,66,0.06060606060606061,0.32859663850741383
