min_gap,fib_lower,fib_upper,stop_buffer,entry_at,score,total_return,max_drawdown,trades,win_rate,profit_factor
0.4,0.5,0.618,0.1,mid,-0.2196626187839817,-0.12196675667520174,-0.1953917242175599,96,0.09375,0.7204814187274918
0.3,0.5,0.618,0.1,mid,-0.22688848955113544,-0.12692090385020416,-0.19993517140186257,97,0.09278350515463918,0.7122888563011472
0.4,0.5,0.618,0.2,mid,-0.23066559969707667,-0.13038375902513277,-0.2005636813438878,96,0.09375,0.6989865699965634
0.3,0.5,0.618,0.2,mid,-0.2378012231830896,-0.13527206370013478,-0.20505831896590965,97,0.09278350515463918,0.6910664111797976
0.4,0.5,0.618,0.3,mid,-0.26581369834645696,-0.16330813662516153,-0.20501112344259087,94,0.0851063829787234,0.6164914536923216
0.3,0.5,0.618,0.3,mid,-0.2727310626408151,-0.1679980399501636,-0.20946604538130298,95,0.08421052631578947,0.6097676915641588
0.2,0.5,0.618,0.1,mid,-0.3013004242111615,-0.18225595595022115,-0.23808893652188068,101,0.07920792079207921,0.6036853846995359
0.2,0.5,0.618,0.2,mid,-0.31025383610878265,-0.18882970240014596,-0.2428482674172734,101,0.07920792079207921,0.5863499398226348
0.2,0.5,0.618,0.3,edge,-0.32316525769559457,-0.21367657300010734,-0.21897736939097445,69,0.043478260869565216,0.3214839808712397
0.2,0.5,0.618,0.2,edge,-0.3324947222913072,-0.21960448995008275,-0.22578046468244894,71,0.04225352112676056,0.32249846663989085
0.2,0.5,0.618,0.1,edge,-0.3349643420399207,-0.2209347186501358,-0.2280592467795698,72,0.041666666666666664,0.32973701946121614
0.2,0.5,0.618,0.3,mid,-0.3465754750126685,-0.2229409014001814,-0.24726914722497417,100,0.07,0.5087282348236581
0.3,0.5,0.618,0.3,edge,-0.38357010633579763,-0.25417305860008754,-0.2587940954714202,62,0.016129032258064516,0.10968489970733698
0.4,0.5,0.618,0.3,edge,-0.38360598378526994,-0.25419702640008734,-0.2588179147703652,62,0.016129032258064516,0.10967100864217116
0.3,0.5,0.618,0.2,edge,-0.3947195680547018,-0.2615920475500656,-0.26625504100927244,64,0.015625,0.11072770270164627
0.4,0.5,0.618,0.2,edge,-0.39475574666394747,-0.26161621750006514,-0.26627905832776466,64,0.015625,0.11071406566520127
0.3,0.5,0.618,0.1,edge,-0.39949316910689275,-0.2647513645501116,-0.2694836091135623,65,0.015384615384615385,0.1148404919744001
0.4,0.5,0.618,0.1,edge,-0.39952689878708086,-0.2647738993501113,-0.2695059988739391,65,0.015384615384615385,0.11482739599788709
