min_gap,fib_lower,fib_upper,tp_extension,stop_buffer,entry_at,score,total_return,max_drawdown,trades,win_rate,profit_factor
0.2,0.5,0.618,-0.618,0.2,mid,0.04919471406103093,0.08349172694630158,-0.0685940257705413,120,0.35,1.18868025201793
0.3,0.5,0.618,-0.618,0.2,mid,0.04562487577599611,0.07992213197172071,-0.0685945123914492,114,0.3508771929824561,1.190893965457245
0.4,0.5,0.618,-0.618,0.2,mid,0.04147005428209777,0.07314157730032367,-0.0633430460364518,112,0.3482142857142857,1.178965894090223
0.2,0.5,0.618,-0.618,0.3,mid,0.034398030777524236,0.06881117569107165,-0.06882628982709482,120,0.35,1.1569860863760926
0.3,0.5,0.618,-0.618,0.3,mid,0.031765356455889904,0.06622226720119251,-0.06891382149060521,114,0.3508771929824561,1.159605094467461
0.4,0.5,0.618,-0.618,0.3,mid,0.027954404172985337,0.05979693046869761,-0.06368505259142454,112,0.3482142857142857,1.1475870743114402
0.2,0.5,0.618,-0.618,0.1,mid,0.004491253357401637,0.03865168744173553,-0.06832086816866778,120,0.325,1.085697775591256
0.3,0.5,0.618,-0.618,0.1,mid,7.833067863755039e-05,0.03423941121275953,-0.06832216106824396,114,0.32456140350877194,1.0801018447825315
0.4,0.5,0.618,-0.618,0.1,mid,-0.004049797503647812,0.027474401496264678,-0.06304839799982498,112,0.32142857142857145,1.0658002755854337
0.2,0.5,0.618,-1.0,0.3,mid,-0.02419933861820872,0.015210258949819755,-0.07881919513605695,106,0.2641509433962264,1.0365201374331805
0.2,0.5,0.618,-1.0,0.2,mid,-0.03726441517118817,0.0022361618748494294,-0.0790011540920752,107,0.2523364485981308,1.0051912179368347
0.3,0.5,0.618,-1.0,0.3,mid,-0.04085470975550354,-0.0014451592001640812,-0.07881910111067891,101,0.25742574257425743,0.9963764710902753
0.4,0.5,0.618,-1.0,0.3,mid,-0.04804224902931875,-0.011219640025159627,-0.07364521800831825,99,0.25252525252525254,0.9711384173971839
0.3,0.5,0.618,-1.0,0.2,mid,-0.05540549706042475,-0.015434781575135448,-0.0799414309705786,102,0.24509803921568626,0.9625900866899514
0.4,0.5,0.618,-1.0,0.2,mid,-0.06278203840028279,-0.025404216900131837,-0.07475564300030191,100,0.24,0.9368298203123706
0.4,0.5,0.618,-2.0,0.2,mid,-0.09479948323167614,-0.041268383775137085,-0.10706219891307811,97,0.15463917525773196,0.905015314544498
0.2,0.5,0.618,-0.618,0.3,edge,-0.09918333934575724,-0.05541061835504413,-0.08754544198142622,82,0.2804878048780488,0.8217282107810441
0.3,0.5,0.618,-2.0,0.2,mid,-0.10268568936247502,-0.046652166550138485,-0.11206704562467307,98,0.15306122448979592,0.8940148220809292
0.2,0.5,0.618,-1.0,0.1,mid,-0.10825499330750549,-0.05386033022521397,-0.10878932616458303,107,0.22429906542056074,0.8763967485105238
0.2,0.5,0.618,-0.618,0.2,edge,-0.11605542152889226,-0.06361565332591734,-0.10487953640594982,82,0.2682926829268293,0.7982174233318869
0.4,0.5,0.618,-2.0,0.3,mid,-0.12303030649483876,-0.06972323655016632,-0.10661413988934487,95,0.14736842105263157,0.8363867745251152
0.3,0.5,0.618,-1.0,0.1,mid,-0.12345308139089617,-0.07181598942519529,-0.10327418393140175,102,0.21568627450980393,0.8280493481863443
0.4,0.5,0.618,-0.618,0.3,edge,-0.1254347331023405,-0.07595855580901856,-0.09895235458664386,73,0.2602739726027397,0.7301438776834818
0.4,0.5,0.618,-2.0,0.1,mid,-0.12612808244074114,-0.061911701875204006,-0.12843276113107427,97,0.14432989690721648,0.8587868324075358
0.3,0.5,0.618,-0.618,0.3,edge,-0.12647772015759806,-0.07665993540291793,-0.09963556950936026,73,0.2602739726027397,0.7275064261638767
0.4,0.5,0.618,-1.0,0.1,mid,-0.1306277474778227,-0.08152841125018984,-0.0981986724552657,100,0.21,0.7998686541564691
0.3,0.5,0.618,-2.0,0.3,mid,-0.13073361231670577,-0.07493206942516872,-0.1116030857830741,96,0.14583333333333334,0.8264612271156009
0.3,0.5,0.618,-2.0,0.1,mid,-0.13388121337150266,-0.06721199510020681,-0.1333384365425917,98,0.14285714285714285,0.8486426373093475
0.4,0.5,0.618,-0.618,0.2,edge,-0.1448807440618518,-0.08544285494979575,-0.1188757782241121,73,0.2465753424657534,0.70095421785164
0.3,0.5,0.618,-0.618,0.2,edge,-0.14596218184775128,-0.08617215257619382,-0.11958005854311493,73,0.2465753424657534,0.698232684114861
0.2,0.5,0.618,-1.0,0.3,edge,-0.14645580131267305,-0.08976717150013169,-0.11337725962508272,79,0.20253164556962025,0.7248724641050976
0.2,0.5,0.618,-0.618,0.1,edge,-0.14646527891703565,-0.09040675791927377,-0.11211704199552375,82,0.24390243902439024,0.7201895714362124
0.2,0.5,0.618,-2.0,0.2,mid,-0.164216768013089,-0.09660894307515011,-0.13521564987587775,102,0.13725490196078433,0.7900820079505222
0.2,0.5,0.618,-1.0,0.2,edge,-0.16425339134354094,-0.1022361817501033,-0.1240344191868753,79,0.189873417721519,0.6900991766259108
0.4,0.5,0.618,-0.618,0.1,edge,-0.17648294943814258,-0.11312038308504402,-0.12672513270619712,73,0.2191780821917808,0.6146042184704668
0.3,0.5,0.618,-0.618,0.1,edge,-0.17760055923139362,-0.11386970314774314,-0.12746171216730096,73,0.2191780821917808,0.6118181292829531
0.2,0.5,0.618,-1.0,0.1,edge,-0.19196215147344625,-0.12019982255015971,-0.1435246578465731,80,0.175,0.6456067459904242
0.2,0.5,0.618,-2.0,0.3,mid,-0.19602511137417677,-0.1275474982001854,-0.13695522634798274,101,0.12871287128712872,0.7209106985543642
0.2,0.5,0.618,-2.0,0.1,mid,-0.19767038205265824,-0.11707444892522301,-0.16119186625487048,102,0.12745098039215685,0.7477409499829756
0.4,0.5,0.618,-1.0,0.3,edge,-0.19869279582659927,-0.12876141905010985,-0.13986275355297884,71,0.16901408450704225,0.5711250597230331
0.3,0.5,0.618,-1.0,0.3,edge,-0.1999079587542495,-0.12957494135010872,-0.14066603480828155,71,0.16901408450704225,0.5681244608450428
0.2,0.5,0.618,-2.0,0.3,edge,-0.20031782811048054,-0.13175203875012753,-0.13713157872070603,72,0.1111111111111111,0.5973480569742488
0.4,0.5,0.618,-1.0,0.2,edge,-0.21965576552235394,-0.14255674055008405,-0.15419804994453978,71,0.15492957746478872,0.5304098015267644
0.3,0.5,0.618,-1.0,0.2,edge,-0.22092401470361872,-0.1434059467000819,-0.15503613600707367,71,0.15492957746478872,0.5272782633355685
0.3,0.5,0.618,-2.0,0.3,edge,-0.23237774267483546,-0.1531695484001041,-0.15841638854946272,64,0.09375,0.47888619241647545
0.4,0.5,0.618,-2.0,0.3,edge,-0.2324155036761848,-0.1531947745001041,-0.1584414583521614,64,0.09375,0.47883763646063526
0.2,0.5,0.618,-2.0,0.2,edge,-0.2457209847430346,-0.16205012530009832,-0.16734171888587257,74,0.0945945945945946,0.519706333071251
0.4,0.5,0.618,-1.0,0.1,edge,-0.24856705953896024,-0.16166545905013374,-0.173803200977653,72,0.1388888888888889,0.48247921685478
0.3,0.5,0.618,-1.0,0.1,edge,-0.24987430740070465,-0.16254126785013268,-0.17466607910114396,72,0.1388888888888889,0.47928034415753784
0.3,0.5,0.618,-2.0,0.2,edge,-0.278745070418299,-0.18411262345007917,-0.18926489393643964,66,0.07575757575757576,0.3946896718525254
0.4,0.5,0.618,-2.0,0.2,edge,-0.2787912199447275,-0.18414345470007842,-0.18929553048929815,66,0.07575757575757576,0.39463399242082214
0.2,0.5,0.618,-2.0,0.1,edge,-0.28500538136654996,-0.18826207130015482,-0.19348662013279028,75,0.08,0.45424146741440224
0.3,0.5,0.618,-2.0,0.1,edge,-0.3191460551067742,-0.21107145610012779,-0.2161491980132928,67,0.05970149253731343,0.32255419834681937
0.4,0.5,0.618,-2.0,0.1,edge,-0.31918216908565,-0.21109558385012783,-0.21617317047104434,67,0.05970149253731343,0.3225268827488862
