min_gap,rr_target,fib_lower,fib_upper,risk_pct,score,total_return,max_drawdown,trades,win_rate,profit_factor
0.3,2.5,0.618,0.79,0.005,-0.12697844954793075,-0.061255544412620044,-0.1314458102706214,99,0.2727272727272727,0.8406371336161234
0.3,3.0,0.618,0.79,0.005,-0.12978104012924646,-0.0631786969751178,-0.13320468630825733,97,0.23711340206185566,0.8387822778249782
0.3,2.0,0.5,0.79,0.005,-0.1323551258218516,-0.06376744355018749,-0.13717536454332824,172,0.3313953488372093,0.8939685271371709
0.1,2.5,0.618,0.79,0.005,-0.13404797503160448,-0.06676960427513279,-0.1345567415129434,103,0.27184466019417475,0.8330391577608627
0.1,3.0,0.618,0.79,0.005,-0.1347150088120727,-0.06655215962512973,-0.13632569837388597,101,0.2376237623762376,0.8367626320765036
0.1,2.0,0.5,0.79,0.005,-0.13909285830845092,-0.06837945872520157,-0.1414267991664987,181,0.3314917127071823,0.8915392195769455
0.1,2.5,0.5,0.79,0.005,-0.14206731626747815,-0.0637873886251965,-0.1565598552845633,169,0.28402366863905326,0.900928310322628
0.2,2.5,0.618,0.79,0.005,-0.142223527589665,-0.07235538506262706,-0.13973628505407587,101,0.26732673267326734,0.8160700017461843
0.2,2.0,0.5,0.79,0.005,-0.1428969613064811,-0.07098383732519198,-0.14382624796257826,176,0.32954545454545453,0.8840105690864765
0.3,2.0,0.618,0.79,0.005,-0.14443095159139707,-0.07762308387512529,-0.13361573543254357,101,0.3069306930693069,0.7891841714784157
0.2,3.0,0.618,0.79,0.005,-0.14609740140941962,-0.07433444815012447,-0.14352590651859032,99,0.23232323232323232,0.8145588063982464
0.3,2.5,0.5,0.79,0.005,-0.14770403913186358,-0.06619355956268291,-0.16302095913836134,160,0.28125,0.8918614734457944
0.2,2.5,0.5,0.79,0.005,-0.1525746236804975,-0.07103268322518663,-0.16308388091062176,164,0.2804878048780488,0.8859960778346079
0.1,2.0,0.618,0.79,0.005,-0.15570188832377657,-0.08529202855013607,-0.140819719547281,105,0.3047619047619048,0.7774199647632899
0.2,2.0,0.618,0.79,0.005,-0.1603984858105782,-0.08848769580013105,-0.1438215800208943,103,0.30097087378640774,0.7653868812525216
0.3,2.5,0.618,0.79,0.0075,-0.18880660385078918,-0.09287344951267851,-0.19186630867622134,99,0.2727272727272727,0.8382108426897076
0.1,3.0,0.5,0.79,0.005,-0.19265695309053332,-0.10658002635019181,-0.17215385348068302,163,0.2331288343558282,0.8335409106552707
0.3,3.0,0.618,0.79,0.0075,-0.19302770295924698,-0.09572798757517575,-0.19459943076814246,97,0.23711340206185566,0.8356675006484957
0.3,2.0,0.5,0.79,0.0075,-0.19794690877474375,-0.09745483052527637,-0.20098415649893475,172,0.3313953488372093,0.890973992432164
0.1,2.5,0.618,0.79,0.0075,-0.1991903582563891,-0.10090153460019613,-0.19657764731238592,103,0.27184466019417475,0.8305814183414647
0.1,3.0,0.618,0.79,0.0075,-0.20034224203301304,-0.10078915982519365,-0.19910616441563878,101,0.2376237623762376,0.8333149972579871
0.3,3.0,0.5,0.79,0.005,-0.2044218878173375,-0.1153063878501771,-0.1782309999343208,154,0.22727272727272727,0.8104608996673145
0.1,2.0,0.5,0.79,0.0075,-0.20782697188248667,-0.10430307505029646,-0.20704779366438042,181,0.3314917127071823,0.8883530094330992
0.2,3.0,0.5,0.79,0.005,-0.20803749946624567,-0.11777561970018291,-0.18052375953212552,158,0.22784810126582278,0.8098400722884257
0.2,2.5,0.618,0.79,0.0075,-0.21085349710549733,-0.10896298747518729,-0.2037810192606201,101,0.26732673267326734,0.8139075414973918
0.1,2.5,0.5,0.79,0.0075,-0.21221879492891588,-0.09812388120029358,-0.2281898274572446,169,0.28402366863905326,0.89823306423447
0.2,2.0,0.5,0.79,0.0075,-0.21325499804867543,-0.10806539895028366,-0.21037919819678352,176,0.32954545454545453,0.8805954476143528
0.3,2.0,0.618,0.79,0.0075,-0.21357041303406277,-0.11610369292518508,-0.19493344021775538,101,0.3069306930693069,0.7874238392384633
0.2,3.0,0.618,0.79,0.0075,-0.21645774622946462,-0.11193897435018474,-0.20903754375855976,99,0.23232323232323232,0.8115348798321266
0.3,2.5,0.5,0.79,0.0075,-0.21916446944932372,-0.10141115603777417,-0.23550662682309909,160,0.28125,0.8895265171278874
0.2,2.5,0.5,0.79,0.0075,-0.2271238898861096,-0.10856343308777805,-0.2371209135966631,164,0.2804878048780488,0.883243387815389
0.1,2.0,0.618,0.79,0.0075,-0.22959354213531524,-0.12711290415020227,-0.20496127597022595,105,0.3047619047619048,0.7756398757709713
0.2,2.0,0.618,0.79,0.0075,-0.2362605782458252,-0.13169394332519335,-0.20913326984126368,103,0.30097087378640774,0.7638208908392018
0.3,2.5,0.618,0.79,0.01,-0.24940702409625015,-0.12495517710023696,-0.2489036939920264,99,0.2727272727272727,0.8359196179918538
0.3,3.0,0.618,0.79,0.01,-0.2550152924320781,-0.12870947157523183,-0.25261164171369255,97,0.23711340206185566,0.8326773416878025
0.3,2.0,0.5,0.79,0.01,-0.26281617756780395,-0.13203674892536477,-0.2615588572848784,172,0.3313953488372093,0.8880875435551828
0.1,2.5,0.618,0.79,0.01,-0.2629164460996857,-0.13532250375026011,-0.2551878846988511,103,0.27184466019417475,0.8282574345550885
0.1,3.0,0.618,0.79,0.01,-0.26466412800916017,-0.1354623331252538,-0.25840358976781275,101,0.2376237623762376,0.8299583602627942
0.1,2.0,0.5,0.79,0.01,-0.2756860079077916,-0.14106602672539037,-0.2692399623648024,181,0.3314917127071823,0.8852560603774609
0.2,2.5,0.618,0.79,0.01,-0.27771073527259404,-0.14566299455024778,-0.2640954814446925,101,0.26732673267326734,0.811867493945721
0.3,2.0,0.618,0.79,0.01,-0.280575093621463,-0.15420355580024336,-0.25274307564243925,101,0.3069306930693069,0.785777459236706
0.1,2.5,0.5,0.79,0.01,-0.281426628010467,-0.1337125579878895,-0.29542814004515494,169,0.28402366863905326,0.8957206156300794
0.2,2.0,0.5,0.79,0.01,-0.28253549675696016,-0.14587122832537036,-0.2733285368631796,176,0.32954545454545453,0.8772779238968857
0.1,3.0,0.5,0.79,0.0075,-0.28373415083960934,-0.15942746302528565,-0.24861337562864738,163,0.2331288343558282,0.8315364460566971
0.2,3.0,0.618,0.79,0.01,-0.2848970797796876,-0.14962226527524292,-0.27054962900888935,99,0.23232323232323232,0.8086316195436054
0.3,2.5,0.5,0.79,0.01,-0.2889189908294765,-0.1376804544378628,-0.30247707278322733,160,0.28125,0.8873819814239575
0.2,2.5,0.5,0.79,0.01,-0.3001794102869319,-0.14704401553786883,-0.30627078949812614,164,0.2804878048780488,0.8806748756229562
0.3,3.0,0.5,0.79,0.0075,-0.3002247661445727,-0.17140574335026337,-0.2576380455886187,154,0.22727272727272727,0.8093412640089921
0.1,2.0,0.618,0.79,0.01,-0.3008251246057222,-0.16824934447526552,-0.26515156026091335,105,0.3047619047619048,0.7739469867379286
0.2,3.0,0.5,0.79,0.0075,-0.30550892049042566,-0.17505514832526892,-0.2609075443303135,158,0.22784810126582278,0.8078888209244232
0.2,2.0,0.618,0.79,0.01,-0.30921535102361497,-0.17406862940025414,-0.27029344324672167,103,0.30097087378640774,0.7623634113803088
0.1,3.0,0.5,0.79,0.01,-0.37112379752500196,-0.21155781140037333,-0.31913197224925727,163,0.2331288343558282,0.829694729256456
0.3,3.0,0.5,0.79,0.01,-0.3915578705410738,-0.22610723837534574,-0.33090126433145617,154,0.22727272727272727,0.8083841814471697
0.2,3.0,0.5,0.79,0.01,-0.3984539508380604,-0.23092162365035096,-0.3350646543754189,158,0.22784810126582278,0.8060746847473422
