min_gap,fib_lower,fib_upper,tp_extension,stop_buffer,entry_at,score,total_return,max_drawdown,trades,win_rate,profit_factor
0.2,0.5,0.618,-1.0,0.1,mid,-0.14279306407165332,-0.085619752625133,-0.11434662289304065,108,0.2037037037037037,0.8008169916392022
0.2,0.5,0.618,-1.0,0.2,mid,-0.1520839987523976,-0.0921093295750921,-0.11994933835461097,108,0.2037037037037037,0.7849822007700866
0.4,0.5,0.618,-1.0,0.1,mid,-0.1602944278801835,-0.0974105797751289,-0.1257676962101092,106,0.19811320754716982,0.7714524693774875
0.2,0.5,0.618,-1.0,0.3,mid,-0.16082950247415873,-0.09821852415011434,-0.12522195664808877,108,0.2037037037037037,0.7699408905135505
0.3,0.5,0.618,-1.0,0.1,mid,-0.16097656043145653,-0.09787034605013234,-0.12621242876264838,106,0.19811320754716982,0.7703219404193714
0.4,0.5,0.618,-1.0,0.2,mid,-0.1689468637341348,-0.10346732980008955,-0.13095906786809053,106,0.19811320754716982,0.7563436506078487
0.3,0.5,0.618,-1.0,0.2,mid,-0.16960033586869266,-0.10390743605009145,-0.13138579963720243,106,0.19811320754716982,0.755245401675468
0.4,0.5,0.618,-1.0,0.3,mid,-0.1771134558761166,-0.10918393615011068,-0.13585903945201183,106,0.19811320754716982,0.7419556265437283
0.3,0.5,0.618,-1.0,0.3,mid,-0.1777266001289865,-0.10959679912511344,-0.13625960200774612,106,0.19811320754716982,0.7409084261999922
0.2,0.5,0.618,-0.618,0.1,mid,-0.1869298590739027,-0.11745653389873256,-0.13894665035034026,111,0.23423423423423423,0.7233674266522732
0.2,0.5,0.618,-2.0,0.1,mid,-0.18985590514644857,-0.11064530522510552,-0.1584211998426861,91,0.12087912087912088,0.7142201759464507
0.2,0.5,0.618,-0.618,0.2,mid,-0.19402301368406866,-0.12249685348079031,-0.1430523204065567,111,0.23423423423423423,0.7104777132692645
0.2,0.5,0.618,-2.0,0.2,mid,-0.19620373751222647,-0.11544361150006954,-0.16152025202431386,91,0.12087912087912088,0.701028029523015
0.4,0.5,0.618,-0.618,0.1,mid,-0.19794121519817726,-0.12485738171552807,-0.14616766696529837,109,0.22935779816513763,0.7032112689049682
0.3,0.5,0.618,-0.618,0.1,mid,-0.19861814477911377,-0.12531240968083102,-0.1466114701965655,109,0.22935779816513763,0.7020579410249639
0.2,0.5,0.618,-0.618,0.3,mid,-0.2008298345493944,-0.1272664057755135,-0.14712685754776178,111,0.23423423423423423,0.6981791972681827
0.2,0.5,0.618,-2.0,0.3,mid,-0.20224979228842355,-0.12001257210008875,-0.16447444037666958,91,0.12087912087912088,0.6883832873320327
0.4,0.5,0.618,-0.618,0.2,mid,-0.20460842963024478,-0.12960932720418672,-0.14999820485211612,109,0.22935779816513763,0.6908080057504258
0.3,0.5,0.618,-0.618,0.2,mid,-0.20525471107669296,-0.1300435325683883,-0.15042235701660933,109,0.22935779816513763,0.6896943153280491
0.4,0.5,0.618,-0.618,0.3,mid,-0.2110264195739916,-0.13411622242710874,-0.1538203942937657,109,0.22935779816513763,0.6789552777533256
0.3,0.5,0.618,-0.618,0.3,mid,-0.21162213202924685,-0.13451631777741047,-0.15421162850367276,109,0.22935779816513763,0.6779005077620829
0.4,0.5,0.618,-2.0,0.1,mid,-0.22454560105803112,-0.13419305957510286,-0.18070508296585652,90,0.1111111111111111,0.6533190141823186
0.3,0.5,0.618,-2.0,0.1,mid,-0.22519833871451572,-0.1346359841501057,-0.18112470912882006,90,0.1111111111111111,0.6521626915275434
0.4,0.5,0.618,-2.0,0.2,mid,-0.22991592112646386,-0.13831516982506786,-0.183201502602792,90,0.1111111111111111,0.641677015989225
0.3,0.5,0.618,-2.0,0.2,mid,-0.23054078892957464,-0.13873920590006994,-0.1836031660590094,90,0.1111111111111111,0.6405474642462134
0.4,0.5,0.618,-2.0,0.3,mid,-0.2350275325476176,-0.14223875565008692,-0.18557755379506136,90,0.1111111111111111,0.630516877920885
0.3,0.5,0.618,-2.0,0.3,mid,-0.23562361305777707,-0.14264281885008878,-0.18596158841537658,90,0.1111111111111111,0.629428021842471
0.4,0.5,0.618,-1.0,0.3,edge,-0.2790832881979637,-0.007478574500083046,-0.5432094273957613,65,0.24615384615384617,0.9707169148210213
