min_gap,fib_lower,fib_upper,stop_buffer,entry_at,max_zone_age_bars,min_impulse_size,strong_impulse_size,strong_only,allowed_weekdays,score,total_return,max_drawdown,trades,win_rate,profit_factor
0.25,0.55,0.7,0.2,mid,8,3.0,4.5,True,"(2, 4)",-0.06369536214919036,-0.02878929877499936,-0.069812126748382,43,0.20930232558139536,0.8384043236496618
0.25,0.55,0.7,0.2,mid,8,3.5,4.5,True,"(2, 4)",-0.06369536214919036,-0.02878929877499936,-0.069812126748382,43,0.20930232558139536,0.8384043236496618
0.25,0.55,0.7,0.25,mid,8,3.5,4.5,True,"(2, 4)",-0.06624067826214874,-0.03117449077501122,-0.07013237497427505,43,0.20930232558139536,0.8243832930625302
0.25,0.55,0.7,0.25,mid,8,3.0,4.5,True,"(2, 4)",-0.06624067826214874,-0.03117449077501122,-0.07013237497427505,43,0.20930232558139536,0.8243832930625302
0.25,0.55,0.7,0.2,edge,8,3.5,4.5,True,"(2, 4)",-0.06673732087442708,-0.03375072735000173,-0.06597318704885069,20,0.15,0.6046131590810457
0.25,0.55,0.7,0.2,edge,8,3.0,4.5,True,"(2, 4)",-0.06673732087442708,-0.03375072735000173,-0.06597318704885069,20,0.15,0.6046131590810457
0.25,0.6,0.7,0.25,edge,8,3.5,4.5,True,"(2, 4)",-0.06717016500640283,-0.0395022429000057,-0.05533584421279425,8,0.0,0.0
0.25,0.6,0.7,0.25,edge,8,3.0,4.5,True,"(2, 4)",-0.06717016500640283,-0.0395022429000057,-0.05533584421279425,8,0.0,0.0
0.25,0.55,0.7,0.25,edge,8,3.5,4.5,True,"(2, 4)",-0.06736715539366595,-0.03437713735000769,-0.06598003608731651,20,0.15,0.5959880210062495
0.25,0.55,0.7,0.25,edge,8,3.0,4.5,True,"(2, 4)",-0.06736715539366595,-0.03437713735000769,-0.06598003608731651,20,0.15,0.5959880210062495
0.25,0.6,0.7,0.2,edge,8,3.5,4.5,True,"(2, 4)",-0.06751396543052868,-0.03962406280000286,-0.05577980526105164,8,0.0,0.0
0.25,0.6,0.7,0.2,edge,8,3.0,4.5,True,"(2, 4)",-0.06751396543052868,-0.03962406280000286,-0.05577980526105164,8,0.0,0.0
0.25,0.6,0.7,0.2,mid,8,3.0,4.5,True,"(2, 4)",-0.0823135939503909,-0.04847880514999747,-0.06766957760078685,23,0.13043478260869565,0.5414280600044272
0.25,0.6,0.7,0.2,mid,8,3.5,4.5,True,"(2, 4)",-0.0823135939503909,-0.04847880514999747,-0.06766957760078685,23,0.13043478260869565,0.5414280600044272
0.25,0.6,0.7,0.25,mid,8,3.5,4.5,True,"(2, 4)",-0.08290206322315713,-0.04926313957500472,-0.06727784729630482,23,0.13043478260869565,0.5325826789739889
0.25,0.6,0.7,0.25,mid,8,3.0,4.5,True,"(2, 4)",-0.08290206322315713,-0.04926313957500472,-0.06727784729630482,23,0.13043478260869565,0.5325826789739889
