min_gap,fib_lower,fib_upper,stop_buffer,entry_at,max_zone_age_bars,min_impulse_size,strong_impulse_size,strong_only,allowed_weekdays,score,total_return,max_drawdown,trades,win_rate,profit_factor
0.25,0.6,0.7,0.2,edge,8,3.0,4.5,True,"(2, 3, 4)",0.03184889296984317,0.046697052299979225,-0.029696318660272114,18,0.2777777777777778,1.7249508645369058
0.25,0.6,0.7,0.2,edge,8,3.5,4.5,True,"(2, 3, 4)",0.03184889296984317,0.046697052299979225,-0.029696318660272114,18,0.2777777777777778,1.7249508645369058
0.25,0.6,0.7,0.25,edge,8,3.5,4.5,True,"(2, 3, 4)",0.030354481724594207,0.04515021424997556,-0.02959146505076271,18,0.2777777777777778,1.7031919636526571
0.25,0.6,0.7,0.25,edge,8,3.0,4.5,True,"(2, 3, 4)",0.030354481724594207,0.04515021424997556,-0.02959146505076271,18,0.2777777777777778,1.7031919636526571
0.25,0.6,0.7,0.2,edge,8,3.0,4.0,True,"(2, 3, 4)",0.013777229859175344,0.0343490294499782,-0.041143599181605706,20,0.25,1.450578107094272
0.25,0.6,0.7,0.2,edge,8,3.5,4.0,True,"(2, 3, 4)",0.013777229859175344,0.0343490294499782,-0.041143599181605706,20,0.25,1.450578107094272
0.25,0.6,0.7,0.25,edge,8,3.5,4.0,True,"(2, 3, 4)",0.012382449226778114,0.03287625989997345,-0.04098762134639067,20,0.25,1.4327860837853437
0.25,0.6,0.7,0.25,edge,8,3.0,4.0,True,"(2, 3, 4)",0.012382449226778114,0.03287625989997345,-0.04098762134639067,20,0.25,1.4327860837853437
0.25,0.55,0.7,0.2,edge,8,3.5,4.5,True,"(2, 3, 4)",0.005111013797930664,0.03658221469996392,-0.06294240180406652,32,0.25,1.2835760074400442
0.25,0.55,0.7,0.2,edge,8,3.0,4.5,True,"(2, 3, 4)",0.005111013797930664,0.03658221469996392,-0.06294240180406652,32,0.25,1.2835760074400442
0.25,0.55,0.7,0.25,edge,8,3.0,4.5,True,"(2, 3, 4)",0.0028585209984977045,0.03434024359995713,-0.06296344520291886,32,0.25,1.2671357109139139
0.25,0.55,0.7,0.25,edge,8,3.5,4.5,True,"(2, 3, 4)",0.0028585209984977045,0.03434024359995713,-0.06296344520291886,32,0.25,1.2671357109139139
0.25,0.55,0.7,0.2,edge,8,3.5,4.0,True,"(2, 3, 4)",-0.021375079823238607,0.01825721609996034,-0.07926459184639789,36,0.2222222222222222,1.1245093522115241
0.25,0.55,0.7,0.2,edge,8,3.0,4.0,True,"(2, 3, 4)",-0.021375079823238607,0.01825721609996034,-0.07926459184639789,36,0.2222222222222222,1.1245093522115241
0.25,0.55,0.7,0.25,edge,8,3.0,4.0,True,"(2, 3, 4)",-0.023474436898550166,0.016135131249951584,-0.0792191362970035,36,0.2222222222222222,1.1104560506753371
0.25,0.55,0.7,0.25,edge,8,3.5,4.0,True,"(2, 3, 4)",-0.023474436898550166,0.016135131249951584,-0.0792191362970035,36,0.2222222222222222,1.1104560506753371
0.25,0.6,0.7,0.2,mid,8,3.0,4.0,True,"(2, 3, 4)",-0.09429695324735748,-0.03779909907504875,-0.11299570834461747,39,0.1794871794871795,0.7853872305862893
0.25,0.6,0.7,0.2,mid,8,3.5,4.0,True,"(2, 3, 4)",-0.09429695324735748,-0.03779909907504875,-0.11299570834461747,39,0.1794871794871795,0.7853872305862893
0.25,0.6,0.7,0.25,mid,8,3.5,4.0,True,"(2, 3, 4)",-0.0965200920221902,-0.04015144997505882,-0.11273728409426276,39,0.1794871794871795,0.7710781085502909
0.25,0.6,0.7,0.25,mid,8,3.0,4.0,True,"(2, 3, 4)",-0.0965200920221902,-0.04015144997505882,-0.11273728409426276,39,0.1794871794871795,0.7710781085502909
0.25,0.6,0.7,0.2,mid,8,3.0,4.5,True,"(2, 3, 4)",-0.10223539973104145,-0.053586242850041765,-0.09729831376199938,33,0.15151515151515152,0.6403778381244519
0.25,0.6,0.7,0.2,mid,8,3.5,4.5,True,"(2, 3, 4)",-0.10223539973104145,-0.053586242850041765,-0.09729831376199938,33,0.15151515151515152,0.6403778381244519
0.25,0.6,0.7,0.25,mid,8,3.5,4.5,True,"(2, 3, 4)",-0.10343351781365007,-0.054885342800050085,-0.09709635002719996,33,0.15151515151515152,0.630563153000764
0.25,0.6,0.7,0.25,mid,8,3.0,4.5,True,"(2, 3, 4)",-0.10343351781365007,-0.054885342800050085,-0.09709635002719996,33,0.15151515151515152,0.630563153000764
